"Postal.Code" "Place.Name" "State" "State.Abbreviation" "County" "Latitude" "Longitude"
"53" "01068" "Oakham" "Massachusetts" "MA" "Worcester" "42.348" "-72.0513"
"54" "01069" "Palmer" "Massachusetts" "MA" "Hampden" "42.1762" "-72.3288"
"55" "01070" "Plainfield" "Massachusetts" "MA" "Hampshire" "42.5144" "-72.9183"
"56" "01071" "Russell" "Massachusetts" "MA" "Hampden" "42.1471" "-72.8403"
"57" "01072" "Shutesbury" "Massachusetts" "MA" "Franklin" "42.482" "-72.4213"
"58" "01073" "Southampton" "Massachusetts" "MA" "Hampshire" "42.2247" "-72.7194"
"59" "01074" "South Barre" "Massachusetts" "MA" "Worcester" "42.376" "-72.1494"
"60" "01075" "South Hadley" "Massachusetts" "MA" "Hampshire" "42.2375" "-72.5811"
"61" "01077" "Southwick" "Massachusetts" "MA" "Hampden" "42.0511" "-72.7706"
"62" "01079" "Thorndike" "Massachusetts" "MA" "Hampden" "42.1929" "-72.3296"
"63" "01080" "Three Rivers" "Massachusetts" "MA" "Hampden" "42.1819" "-72.3624"
"64" "01081" "Wales" "Massachusetts" "MA" "Hampden" "42.0627" "-72.2046"
"65" "01082" "Ware" "Massachusetts" "MA" "Hampshire" "42.2618" "-72.2583"
"66" "01083" "Warren" "Massachusetts" "MA" "Worcester" "42.204" "-72.1994"
"67" "01084" "West Chesterfield" "Massachusetts" "MA" "Hampshire" "42.3903" "-72.8709"
"68" "01085" "Westfield" "Massachusetts" "MA" "Hampden" "42.1537" "-72.7698"
"69" "01086" "Westfield" "Massachusetts" "MA" "Hampden" "42.1734" "-72.848"
"70" "01088" "West Hatfield" "Massachusetts" "MA" "Hampshire" "42.3906" "-72.6469"
"71" "01089" "West Springfield" "Massachusetts" "MA" "Hampden" "42.1151" "-72.6411"
"72" "01090" "West Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"73" "01092" "West Warren" "Massachusetts" "MA" "Worcester" "42.2029" "-72.229"
"74" "01093" "Whately" "Massachusetts" "MA" "Franklin" "42.4427" "-72.6525"
"75" "01094" "Wheelwright" "Massachusetts" "MA" "Worcester" "42.3582" "-72.1408"
"76" "01095" "Wilbraham" "Massachusetts" "MA" "Hampden" "42.1245" "-72.4464"
"77" "01096" "Williamsburg" "Massachusetts" "MA" "Hampshire" "42.4085" "-72.778"
"78" "01097" "Woronoco" "Massachusetts" "MA" "Hampden" "42.1617" "-72.8459"
"79" "01098" "Worthington" "Massachusetts" "MA" "Hampshire" "42.3843" "-72.9314"
"80" "01101" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"81" "01102" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
"82" "01103" "Springfield" "Massachusetts" "MA" "Hampden" "42.1029" "-72.5887"
"83" "01104" "Springfield" "Massachusetts" "MA" "Hampden" "42.1288" "-72.5778"
"84" "01105" "Springfield" "Massachusetts" "MA" "Hampden" "42.0999" "-72.5783"
"85" "01106" "Longmeadow" "Massachusetts" "MA" "Hampden" "42.0507" "-72.5676"
"86" "01107" "Springfield" "Massachusetts" "MA" "Hampden" "42.1179" "-72.6065"
"87" "01108" "Springfield" "Massachusetts" "MA" "Hampden" "42.0853" "-72.5584"
"88" "01109" "Springfield" "Massachusetts" "MA" "Hampden" "42.1145" "-72.5543"
"89" "01111" "Springfield" "Massachusetts" "MA" "Hampden" "42.1707" "-72.6048"
